Molecule,TanimotoA,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 23,0.255025126,CCOc1ccc2c(c1)cc(c(=O)[nH]2)C=O,C12H11NO3,217.22,16,10,0.17,3,3,1,61.26,59.16,1.92,1.34,1.74,0.98,3.07,1.81,-2.3,1.1,0.00506,Soluble,-2.18,1.42,0.00655,Soluble,-4.1,0.0174,8.02e-05,Moderately soluble,High,Yes,No,Yes,No,No,No,No,-6.67,0,0,0,0,0,0.55,0,1,1,1.6
Molecule 24,0.297230769,O=Cc1cc2cc3OCOc3cc2[nH]c1=O,C11H7NO4,217.18,16,10,0.09,1,4,1,56.02,68.39,1.68,0.82,1.07,0.55,2.65,1.35,-2.1,1.73,0.00795,Soluble,-1.84,3.15,0.0145,Very soluble,-3.32,0.105,0.000482,Soluble,High,No,No,Yes,No,No,No,No,-7.04,0,0,0,0,0,0.55,0,1,1,1.95
Molecule 30,0.263619286,COc1ccc2c(n1)nc(cc2C=O)OC,C11H10N2O3,218.21,16,10,0.18,3,5,0,57.91,61.31,2.13,1.53,1.46,0.89,2.06,1.61,-2.42,0.827,0.00379,Soluble,-2.43,0.817,0.00375,Soluble,-3.54,0.0629,0.000288,Soluble,High,Yes,No,Yes,No,No,No,No,-6.54,0,0,0,0,0,0.55,0,1,1,1.88
Molecule 38,0.345605701,O=Cc1c(C)nn(c1C)C1CCS(=O)(=O)C1,C10H14N2O3S,242.29,16,5,0.6,2,4,0,60.08,77.41,1.1,-0.03,1.75,0.02,1.13,0.79,-1.42,9.16,0.0378,Very soluble,-1.15,17.3,0.0715,Very soluble,-1.94,2.76,0.0114,Soluble,High,No,No,No,No,No,No,No,-7.8,0,0,0,0,0,0.55,0,1,1,3.1
Molecule 43,0.251572327,Sc1ccc(nn1)NC(=O)c1ccccc1F,C11H8FN3OS,249.26,17,12,0.0,3,4,1,63.46,93.68,1.81,1.6,2.39,2.23,2.21,2.05,-2.72,0.477,0.00192,Soluble,-3.18,0.165,0.000663,Soluble,-4.57,0.00679,2.72e-05,Moderately soluble,High,No,No,Yes,No,No,No,No,-6.68,0,0,0,0,0,0.55,0,1,1,1.92
Molecule 44,0.242866202,Fc1cccc(c1)C(=O)Nc1ccc(nn1)S,C11H8FN3OS,249.26,17,12,0.0,3,4,1,63.46,93.68,1.62,1.6,2.39,2.23,2.21,2.01,-2.72,0.477,0.00192,Soluble,-3.18,0.165,0.000663,Soluble,-4.57,0.00679,2.72e-05,Moderately soluble,High,No,No,Yes,No,No,No,No,-6.68,0,0,0,0,0,0.55,0,1,1,1.79
Molecule 45,0.226031746,Fc1ccc(cc1)C(=O)Nc1ccc(nn1)S,C11H8FN3OS,249.26,17,12,0.0,3,4,1,63.46,93.68,1.57,1.6,2.39,2.23,2.21,2.0,-2.72,0.477,0.00192,Soluble,-3.18,0.165,0.000663,Soluble,-4.57,0.00679,2.72e-05,Moderately soluble,High,No,No,Yes,No,No,No,No,-6.68,0,0,0,0,0,0.55,0,1,1,1.79
Molecule 46,0.219808307,Cc1ccc(cc1)C(=O)Nc1ccc(nn1)S,C12H11N3OS,245.3,17,12,0.08,3,3,1,68.46,93.68,1.74,1.86,2.14,2.1,2.27,2.02,-2.86,0.341,0.00139,Soluble,-3.45,0.0873,0.000356,Soluble,-4.67,0.0052,2.12e-05,Moderately soluble,High,No,No,Yes,No,No,No,No,-6.48,0,0,0,0,0,0.55,0,1,1,1.83
Molecule 52,0.328208161,Sc1nnc(o1)Cn1nc(ccc1=O)c1ccccc1,C13H10N4O2S,286.31,20,17,0.08,3,5,0,74.79,112.61,2.46,1.28,1.63,1.63,2.02,1.8,-2.85,0.402,0.0014,Soluble,-3.24,0.163,0.00057,Soluble,-4.75,0.00511,1.79e-05,Moderately soluble,High,No,No,Yes,Yes,No,No,No,-7.14,0,0,0,0,0,0.55,0,1,0,2.82
Molecule 54,0.313000616,O=C(c1cnc(n(c1=O)C)S)Nc1ccccc1,C12H11N3O2S,261.3,18,12,0.08,3,3,1,71.23,102.79,1.95,1.09,1.13,0.79,1.37,1.26,-2.44,0.944,0.00361,Soluble,-2.84,0.377,0.00144,Soluble,-3.75,0.0461,0.000177,Soluble,High,No,No,Yes,No,No,No,No,-7.12,0,0,0,0,0,0.55,0,1,0,2.04
Molecule 57,0.326152005,CCOC(=O)Cn1cnc(cc1=O)c1cccs1,C12H12N2O3S,264.3,18,11,0.25,5,4,0,68.78,89.43,2.47,1.11,1.53,0.43,2.78,1.66,-2.3,1.32,0.00501,Soluble,-2.58,0.693,0.00262,Soluble,-3.41,0.103,0.00039,Soluble,High,No,No,Yes,No,No,No,No,-7.12,0,0,0,0,0,0.55,0,0,0,2.76
Molecule 60,0.341696535,Sc1ccc2n(n1)c(nn2)c1ccccn1,C10H7N5S,229.26,16,15,0.0,1,4,0,61.27,94.77,1.92,0.85,1.47,1.3,1.16,1.34,-2.42,0.862,0.00376,Soluble,-2.42,0.865,0.00377,Soluble,-3.6,0.0572,0.000249,Soluble,High,No,No,Yes,No,No,No,Yes,-7.09,0,0,0,0,0,0.55,0,1,1,2.32
Molecule 61,0.292727273,Sc1ccc2n(n1)c(nn2)c1ccncc1,C10H7N5S,229.26,16,15,0.0,1,4,0,61.27,94.77,1.75,0.81,1.47,1.3,1.16,1.3,-2.4,0.914,0.00399,Soluble,-2.38,0.952,0.00415,Soluble,-3.6,0.0572,0.000249,Soluble,High,No,No,Yes,No,No,No,Yes,-7.12,0,0,0,0,0,0.55,0,1,1,2.18
Molecule 62,0.30834341,Cc1ccc(cc1)c1nnc2n1nc(S)cc2,C12H10N4S,242.3,17,15,0.08,1,3,0,68.44,81.88,2.38,2.25,2.39,3.11,2.13,2.45,-3.35,0.109,0.00045,Soluble,-3.61,0.0601,0.000248,Soluble,-4.36,0.0105,4.35e-05,Moderately soluble,High,No,No,Yes,Yes,No,No,No,-6.18,0,0,0,0,0,0.55,0,1,1,2.23
Molecule 67,0.261606023,Sc1ccc(nn1)c1ccc2c(c1)OCO2,C11H8N2O2S,232.26,16,12,0.09,1,4,0,60.78,83.04,2.44,1.8,2.16,1.5,2.65,2.11,-2.9,0.29,0.00125,Soluble,-3.16,0.16,0.000687,Soluble,-4.04,0.0212,9.12e-05,Moderately soluble,High,No,Yes,Yes,No,No,No,Yes,-6.44,0,0,0,0,0,0.55,0,1,1,2.26
Molecule 68,0.259887006,COc1cc(cc(c1OC)OC)c1ccc(nn1)S,C13H14N2O3S,278.33,19,12,0.23,4,5,0,74.2,92.27,2.82,1.9,2.46,1.08,2.75,2.2,-2.97,0.301,0.00108,Soluble,-3.46,0.0964,0.000346,Soluble,-4.66,0.00608,2.18e-05,Moderately soluble,High,No,No,Yes,Yes,No,No,No,-6.65,0,0,0,0,0,0.55,0,1,0,2.32
Molecule 69,0.272613849,COc1ccc(cc1c1ccc(nn1)S)OC,C12H12N2O2S,248.3,17,12,0.17,3,4,0,67.7,83.04,2.6,1.93,2.45,1.37,2.72,2.21,-2.92,0.299,0.0012,Soluble,-3.3,0.125,0.000504,Soluble,-4.54,0.00714,2.88e-05,Moderately soluble,High,No,No,Yes,Yes,No,No,No,-6.44,0,0,0,0,0,0.55,0,1,1,2.21
Molecule 74,0.239875389,Sc1ccc(nn1)c1ccc(cc1)n1cccn1,C13H10N4S,254.31,18,17,0.0,2,3,0,71.84,82.4,2.47,1.96,2.62,1.99,2.22,2.25,-3.22,0.154,0.000605,Soluble,-3.32,0.123,0.000484,Soluble,-4.81,0.0039,1.53e-05,Moderately soluble,High,No,No,Yes,Yes,No,No,Yes,-6.46,0,0,0,0,0,0.55,0,1,0,1.89
Molecule 75,0.235736677,Sc1ccc(nn1)c1cccc(c1)[N+](=O)[O-],C10H7N3O2S,233.25,16,12,0.0,2,4,0,63.54,110.4,1.58,1.82,2.34,1.72,0.52,1.6,-2.86,0.325,0.00139,Soluble,-3.76,0.0407,0.000174,Soluble,-3.67,0.0501,0.000215,Soluble,High,No,No,Yes,Yes,No,No,No,-6.43,0,0,0,0,0,0.55,0,3,1,2.14
Molecule 78,0.334954407,COc1cccc(c1)c1ccc2n(n1)c(S)nn2,C12H10N4OS,258.3,18,15,0.08,2,4,0,69.96,91.11,2.43,1.86,2.09,1.87,1.65,1.98,-3.1,0.206,0.000798,Soluble,-3.39,0.104,0.000403,Soluble,-4.1,0.0205,7.94e-05,Moderately soluble,High,No,No,Yes,Yes,No,No,Yes,-6.56,0,0,0,0,0,0.55,0,1,0,2.28
Molecule 80,0.304294479,Cc1ccc(cc1)c1ccc2n(n1)c(S)nn2,C12H10N4S,242.3,17,15,0.08,1,3,0,68.44,81.88,2.4,2.25,2.39,2.43,2.13,2.32,-3.35,0.109,0.00045,Soluble,-3.61,0.0601,0.000248,Soluble,-4.36,0.0105,4.35e-05,Moderately soluble,High,No,No,Yes,Yes,No,No,No,-6.18,0,0,0,0,0,0.55,0,1,1,2.2
Molecule 83,0.236155315,CC(=O)Nc1ccc(nn1)c1ccc(cc1)S,C12H11N3OS,245.3,17,12,0.08,3,3,1,69.03,93.68,1.51,1.17,2.2,1.83,2.27,1.8,-2.42,0.928,0.00378,Soluble,-2.73,0.454,0.00185,Soluble,-4.67,0.0052,2.12e-05,Moderately soluble,High,No,No,Yes,No,No,No,No,-6.97,0,0,0,0,0,0.55,0,1,1,2.11
Molecule 84,0.259609326,COCC(=O)Nc1ccc(nn1)c1ccc(cc1)S,C13H13N3O2S,275.33,19,12,0.15,5,4,1,74.92,102.91,1.55,1.05,1.83,1.28,2.17,1.57,-2.35,1.24,0.00451,Soluble,-2.8,0.434,0.00158,Soluble,-4.81,0.00424,1.54e-05,Moderately soluble,High,No,No,Yes,No,No,No,No,-7.23,0,0,0,0,0,0.55,0,1,0,2.35
Molecule 88,0.291386683,N#CCC(n1ncccc1=O)c1ccccc1,C13H11N3O,225.25,17,12,0.15,3,3,0,63.61,58.68,1.92,0.69,1.75,1.49,1.91,1.55,-2.0,2.28,0.0101,Very soluble,-1.5,7.13,0.0317,Very soluble,-3.8,0.0359,0.000159,Soluble,High,Yes,No,No,No,No,No,No,-7.18,0,0,0,0,0,0.55,0,0,1,2.48
Molecule 89,0.332937685,CCOC(=O)Cn1nc(ccc1=O)n1cccn1,C11H12N4O3,248.24,18,11,0.27,5,5,0,62.59,79.01,2.42,0.15,-0.01,0.83,0.1,0.7,-1.6,6.3,0.0254,Very soluble,-1.37,10.7,0.043,Very soluble,-2.16,1.73,0.00698,Soluble,High,No,No,No,No,No,No,No,-7.71,0,0,0,0,0,0.55,0,0,1,2.91
Molecule 90,0.367501456,CCOC(=O)C(n1nc(ccc1=O)n1cccn1)C,C12H14N4O3,262.26,19,11,0.33,5,5,0,67.39,79.01,2.64,0.55,0.55,1.12,0.28,1.03,-1.91,3.22,0.0123,Very soluble,-1.78,4.34,0.0166,Very soluble,-2.18,1.72,0.00655,Soluble,High,No,No,No,Yes,No,No,No,-7.51,0,0,0,0,0,0.55,0,0,0,3.42
Molecule 102,0.272394881,CCOC(=O)Cn1nc(ccc1=O)C1CC1,C11H14N2O3,222.24,16,6,0.55,5,4,0,57.93,61.19,2.51,0.53,0.62,1.16,1.49,1.26,-1.5,7.04,0.0317,Very soluble,-1.39,9.13,0.0411,Very soluble,-2.23,1.32,0.00593,Soluble,High,No,No,No,No,No,No,No,-7.28,0,0,0,0,0,0.55,0,0,1,2.55
Molecule 104,0.192234246,CCOC(=O)C(=O)NCC(=O)c1cccs1,C10H11NO4S,241.26,16,5,0.3,7,4,1,58.03,100.71,2.03,1.62,0.61,-0.39,2.12,1.2,-2.13,1.81,0.00749,Soluble,-3.35,0.108,0.00045,Soluble,-2.51,0.749,0.0031,Soluble,High,No,No,Yes,No,No,No,No,-6.62,0,0,0,0,0,0.55,0,1,1,2.21
Molecule 105,0.288834951,CCOC(=O)Cn1cnc2c(c1=O)cccn2,C11H11N3O3,233.22,17,10,0.27,4,5,0,60.77,74.08,1.39,0.44,0.35,0.28,1.03,0.7,-1.73,4.3,0.0184,Very soluble,-1.56,6.37,0.0273,Very soluble,-2.93,0.273,0.00117,Soluble,High,No,No,Yes,No,No,No,No,-7.41,0,0,0,0,0,0.55,0,0,1,2.23
Molecule 107,0.186331399,CCOC(=O)C(=O)NCC(=O)c1ccc(cc1)F,C12H12FNO4,253.23,18,6,0.25,7,5,1,60.11,72.47,2.26,1.7,1.11,0.94,1.94,1.59,-2.27,1.37,0.00542,Soluble,-2.84,0.368,0.00145,Soluble,-3.52,0.077,0.000304,Soluble,High,No,No,Yes,No,No,No,No,-6.64,0,0,0,0,0,0.55,0,1,0,1.78
Molecule 108,0.206984127,O=Cc1cccc(n1)NC(=O)OC(C)(C)C,C11H14N2O3,222.24,16,6,0.36,5,4,1,59.87,68.29,1.34,1.55,2.05,0.62,1.35,1.38,-2.14,1.6,0.00721,Soluble,-2.59,0.566,0.00255,Soluble,-2.93,0.26,0.00117,Soluble,High,Yes,No,No,No,No,No,No,-6.56,0,0,0,0,0,0.55,0,1,1,2.27
Molecule 110,0.226718048,COc1ccc(cc1)c1ncnc(c1)C#N,C12H9N3O,211.22,16,12,0.08,2,4,0,58.67,58.8,2.09,1.89,2.02,0.35,2.43,1.76,-2.76,0.364,0.00172,Soluble,-2.75,0.378,0.00179,Soluble,-4.39,0.0086,4.07e-05,Moderately soluble,High,Yes,No,Yes,No,No,No,Yes,-6.25,0,0,0,0,0,0.55,0,0,1,1.94
Molecule 111,0.359375,COc1cc(ccc1OC)c1ccc2n(n1)c(S)nn2,C13H12N4O2S,288.32,20,15,0.15,3,5,0,76.45,100.34,2.61,1.83,2.1,1.6,1.66,1.96,-3.14,0.21,0.000729,Soluble,-3.56,0.0799,0.000277,Soluble,-4.22,0.0175,6.05e-05,Moderately soluble,High,No,No,Yes,No,No,No,Yes,-6.76,0,0,0,0,0,0.55,0,1,0,2.45
Molecule 112,0.370880767,Sc1nnc2n1nc(cc2)c1ccc2c(c1)OCO2,C12H8N4O2S,272.28,19,15,0.08,1,5,0,69.53,100.34,2.34,1.7,1.81,2.14,1.53,1.9,-3.12,0.208,0.000763,Soluble,-3.42,0.103,0.000378,Soluble,-3.72,0.0518,0.00019,Soluble,High,No,Yes,Yes,No,No,No,No,-6.75,0,0,0,0,0,0.55,0,1,0,2.47
Molecule 114,0.309808612,CCOC(=O)Cn1nc(ccc1=O)c1cccnc1,C13H13N3O3,259.26,19,12,0.23,5,5,0,68.7,74.08,2.28,0.66,0.87,0.66,1.59,1.21,-2.0,2.59,0.00999,Soluble,-1.79,4.19,0.0162,Very soluble,-3.77,0.0442,0.000171,Soluble,High,No,No,No,No,No,No,No,-7.41,0,0,0,0,0,0.55,0,0,0,2.78
Molecule 115,0.300119332,CCOC(=O)C(n1nc(ccc1=O)C(F)(F)F)C,C10H11F3N2O3,264.2,18,6,0.5,5,7,0,55.27,61.19,2.26,1.59,2.54,1.57,1.78,1.95,-2.4,1.06,0.00401,Soluble,-2.49,0.863,0.00326,Soluble,-2.54,0.762,0.00288,Soluble,High,Yes,No,No,Yes,No,No,No,-6.78,0,0,0,0,0,0.55,0,0,0,2.88
Molecule 116,0.147572816,COC(=O)CNC1CCS(=O)(=O)C1.Cl,C7H14ClNO4S,243.71,14,0,0.86,4,5,1,53.66,80.85,0.0,0.09,0.82,-0.39,-0.14,0.08,-1.14,17.5,0.0718,Very soluble,-1.34,11.1,0.0455,Very soluble,-1.22,14.6,0.0598,Soluble,High,No,No,No,No,No,No,No,-7.72,0,0,0,0,0,0.55,0,0,1,2.79
Molecule 119,0.393885949,N#Cc1sc2c(c1N)c(C)cc(n2)C,C10H9N3S,203.26,14,9,0.2,0,2,1,58.67,90.94,1.97,2.89,2.37,0.84,3.27,2.27,-3.4,0.0815,0.000401,Soluble,-4.46,0.00705,3.47e-05,Moderately soluble,-3.48,0.0678,0.000333,Soluble,High,No,No,Yes,Yes,Yes,No,No,-5.49,0,0,0,0,0,0.55,0,0,1,2.55
Molecule 121,0.390487375,C=CCNC(=O)c1c(N)sc2c1CCCC2,C12H16N2OS,236.33,16,5,0.42,4,1,2,68.29,83.36,2.43,2.96,2.13,1.67,3.47,2.53,-3.14,0.172,0.000729,Soluble,-4.37,0.01,4.23e-05,Moderately soluble,-3.27,0.125,0.000531,Soluble,High,No,No,Yes,Yes,No,No,No,-5.64,0,0,0,0,0,0.55,1,1,1,2.81
Molecule 124,0.122829582,N#CCCS(=O)(=O)c1ccc(cc1)F,C9H8FNO2S,213.23,14,6,0.22,3,4,0,48.86,66.31,1.47,0.95,3.01,1.62,1.75,1.76,-1.88,2.81,0.0132,Very soluble,-1.93,2.51,0.0118,Very soluble,-3.5,0.0668,0.000313,Soluble,High,Yes,No,Yes,No,No,No,No,-6.93,0,0,0,0,0,0.55,0,0,1,2.37
Molecule 125,0.197522816,COC(=O)C(N1CCN(CC1)C)CC(=O)OC,C11H20N2O4,244.29,17,0,0.82,6,6,0,69.07,59.08,2.81,-0.15,-1.42,-0.19,0.1,0.23,-0.86,33.4,0.137,Very soluble,-0.64,56.5,0.231,Very soluble,-0.66,53.2,0.218,Soluble,High,No,No,No,No,No,No,No,-7.9,0,1,0,0,0,0.55,0,1,1,2.76
Molecule 127,0.315632458,N#CCSc1cn(c2c1cccc2)CC(=O)N1CCCC1,C16H17N3OS,299.39,21,9,0.38,5,2,0,88.41,74.33,2.45,2.42,2.5,1.66,2.5,2.31,-3.21,0.185,0.000619,Soluble,-3.62,0.0713,0.000238,Soluble,-3.85,0.0425,0.000142,Soluble,High,Yes,No,No,Yes,Yes,Yes,No,-6.41,0,0,0,0,0,0.55,0,0,0,2.66
Molecule 128,0.315224258,C=CCNC(=O)NC1CC(=O)N(C1)c1cccc(c1)F,C14H16FN3O2,277.29,20,6,0.29,6,3,2,76.19,61.44,2.19,0.94,1.46,1.75,1.48,1.56,-1.98,2.92,0.0105,Very soluble,-1.82,4.23,0.0152,Very soluble,-3.68,0.0577,0.000208,Soluble,High,Yes,No,No,No,No,No,No,-7.32,0,0,0,0,0,0.55,0,1,0,2.85
Molecule 129,0.292100429,C/C=C\C(=O)NCc1nnnn1c1ccc(c(c1)C)C,C14H17N5O,271.32,20,11,0.29,5,4,1,75.81,72.7,2.45,1.92,1.32,2.04,1.85,1.92,-2.81,0.421,0.00155,Soluble,-3.07,0.231,0.000851,Soluble,-3.84,0.0393,0.000145,Soluble,High,No,No,No,No,No,No,No,-6.59,0,0,0,0,0,0.55,0,1,0,2.59
Molecule 130,0.268969772,CCOc1ccc(cc1)n1nnnc1CNC(=O)/C=C\C,C14H17N5O2,287.32,21,11,0.29,7,5,1,77.17,81.93,2.6,1.53,1.1,1.51,1.27,1.6,-2.51,0.886,0.00308,Soluble,-2.86,0.397,0.00138,Soluble,-3.59,0.0735,0.000256,Soluble,High,No,No,No,No,No,No,No,-6.97,0,0,0,0,0,0.55,0,1,0,2.65
Molecule 131,0.269724771,CCOC(=O)C(=O)NCc1nnnn1c1ccc(cc1)C,C13H15N5O3,289.29,21,11,0.31,7,6,1,72.6,99.0,2.39,1.39,0.0,1.01,0.63,1.08,-2.43,1.06,0.00367,Soluble,-3.07,0.245,0.000846,Soluble,-3.45,0.103,0.000355,Soluble,High,No,No,No,No,No,No,No,-7.08,0,0,0,0,0,0.55,0,1,0,2.43
Molecule 132,0.231105559,C/C=C\C(=O)NCc1nnnn1c1ccccc1,C12H13N5O,243.26,18,11,0.17,5,4,1,65.88,72.7,2.11,1.19,0.7,1.51,0.85,1.27,-2.22,1.47,0.00602,Soluble,-2.31,1.18,0.00487,Soluble,-3.07,0.207,0.000849,Soluble,High,No,No,No,No,No,No,No,-6.94,0,0,0,0,0,0.55,0,1,1,2.44
Molecule 133,0.252774353,CCOC(=O)C(=O)NCc1nnnn1c1ccccc1,C12H13N5O3,275.26,20,11,0.25,7,6,1,67.63,99.0,2.21,1.02,-0.31,0.73,0.13,0.76,-2.13,2.02,0.00734,Soluble,-2.69,0.564,0.00205,Soluble,-3.07,0.235,0.000855,Soluble,High,No,No,No,No,No,No,No,-7.25,0,0,0,0,0,0.55,0,1,0,2.39
Molecule 134,0.264290104,C/C=C\C(=O)NCc1nnnn1c1cccc(c1)F,C12H12FN5O,261.25,19,11,0.17,5,5,1,65.83,72.7,2.17,1.3,1.26,1.91,1.28,1.59,-2.38,1.1,0.0042,Soluble,-2.43,0.978,0.00374,Soluble,-3.35,0.118,0.00045,Soluble,High,No,No,No,No,No,No,No,-6.97,0,0,0,0,0,0.55,0,1,0,2.51
Molecule 135,0.285279805,CCOC(=O)C(=O)NCc1nnnn1c1cccc(c1)F,C12H12FN5O3,293.25,21,11,0.25,7,7,1,67.59,99.0,1.98,1.12,0.25,1.14,0.57,1.01,-2.29,1.51,0.00514,Soluble,-2.79,0.473,0.00161,Soluble,-3.34,0.134,0.000457,Soluble,High,No,No,No,No,No,No,No,-7.29,0,0,0,0,0,0.55,0,1,0,2.5
Molecule 136,0.25233064,C/C=C\C(=O)NCc1nnnn1c1ccc(cc1)Cl,C12H12ClN5O,277.71,19,11,0.17,5,4,1,70.89,72.7,2.39,1.82,1.36,2.05,1.5,1.82,-2.81,0.433,0.00156,Soluble,-2.97,0.3,0.00108,Soluble,-3.68,0.0582,0.000209,Soluble,High,No,No,Yes,Yes,No,No,No,-6.7,0,0,0,0,0,0.55,0,1,0,2.46
Molecule 137,0.255083179,CCOC(=O)C(=O)NCc1nnnn1C1CCCCC1,C12H19N5O3,281.31,20,5,0.75,7,6,1,69.48,99.0,2.49,1.08,0.21,0.71,0.23,0.94,-1.99,2.9,0.0103,Very soluble,-2.75,0.499,0.00177,Soluble,-1.99,2.91,0.0104,Soluble,High,No,Yes,No,No,No,No,No,-7.25,0,0,0,0,0,0.55,0,1,0,2.61
Molecule 138,0.273897059,CCOC(=O)C(=O)NCc1nnnn1c1ccc(cc1)F,C12H12FN5O3,293.25,21,11,0.25,7,7,1,67.59,99.0,1.83,1.12,0.25,1.14,0.57,0.98,-2.29,1.51,0.00514,Soluble,-2.79,0.473,0.00161,Soluble,-3.34,0.134,0.000457,Soluble,High,No,No,No,No,No,No,No,-7.29,0,0,0,0,0,0.55,0,1,0,2.42
Molecule 140,0.328115593,CCOC(=O)C(=O)Nc1nnc2n1CCS2,C8H10N4O3S,242.25,16,5,0.5,5,5,1,56.1,111.41,0.83,0.14,-0.31,0.03,-0.15,0.11,-1.33,11.3,0.0466,Very soluble,-2.04,2.23,0.0092,Soluble,-1.19,15.7,0.0649,Soluble,High,No,No,No,No,No,No,No,-7.68,0,0,0,0,0,0.55,0,1,1,2.73
Molecule 141,0.321859903,CCOC(=O)CCC(=O)Nc1nnc2n1CCS2,C10H14N4O3S,270.31,18,5,0.6,7,5,1,65.72,111.41,0.76,-0.39,0.47,0.65,0.54,0.41,-1.01,26.2,0.0969,Very soluble,-1.49,8.83,0.0327,Very soluble,-1.99,2.76,0.0102,Soluble,High,No,No,No,No,No,No,No,-8.23,0,0,0,0,0,0.55,0,0,0,2.91
Molecule 142,0.339317774,CCOC(=O)C(=O)Nc1nnc2n1CCCS2,C9H12N4O3S,256.28,17,5,0.56,5,5,1,60.91,111.41,0.75,0.5,0.08,0.35,0.07,0.35,-1.63,5.99,0.0234,Very soluble,-2.41,0.998,0.00389,Soluble,-1.46,8.8,0.0344,Soluble,High,No,No,No,No,No,No,No,-7.51,0,0,0,0,0,0.55,0,1,0,2.95
Molecule 143,0.336336336,CCOC(=O)CCC(=O)Nc1nnc2n1CCCS2,C11H16N4O3S,284.33,19,5,0.64,7,5,1,70.52,111.41,1.19,-0.03,0.86,0.94,0.77,0.75,-1.32,13.7,0.0482,Very soluble,-1.86,3.93,0.0138,Very soluble,-2.27,1.54,0.00543,Soluble,High,No,Yes,No,No,No,No,No,-8.06,0,0,0,0,0,0.55,0,0,0,3.18
Molecule 148,0.436188315,N#CCn1c(=O)c2c(OC)c(C)cnc2n(c1=O)C,C12H12N4O3,260.25,19,10,0.33,2,5,0,68.8,89.91,1.99,0.2,-0.06,0.36,0.88,0.67,-1.84,3.79,0.0146,Very soluble,-1.65,5.87,0.0226,Very soluble,-2.52,0.793,0.00305,Soluble,High,No,No,No,No,No,No,No,-7.75,0,0,0,0,0,0.55,0,0,0,2.34
Molecule 149,0.451576577,N#CCn1c(=O)c2c(OC)c(CC)cnc2n(c1=O)C,C13H14N4O3,274.28,20,10,0.38,3,5,0,73.61,89.91,2.18,0.63,0.19,0.63,1.25,0.98,-2.11,2.13,0.00777,Soluble,-2.09,2.21,0.00807,Soluble,-2.92,0.332,0.00121,Soluble,High,No,No,Yes,No,No,No,No,-7.53,0,0,0,0,0,0.55,0,0,0,2.48
Molecule 150,0.405780347,C#CCn1c(=O)c2c(OC)ccnc2n(c1=O)C,C12H11N3O3,245.23,18,10,0.25,2,4,0,67.05,66.12,2.18,0.16,-0.18,1.16,1.04,0.87,-1.74,4.46,0.0182,Very soluble,-1.11,19.2,0.0784,Very soluble,-2.13,1.83,0.00745,Soluble,High,No,No,No,No,No,No,No,-7.68,0,0,0,0,0,0.55,0,1,1,2.43
Molecule 1,0.405420992,N#CCn1c(=O)c2c(OC)ccnc2n(c1=O)C,C11H10N4O3,246.22,18,10,0.27,2,5,0,63.83,89.91,1.6,-0.17,-0.37,0.08,0.38,0.3,-1.54,7.12,0.0289,Very soluble,-1.26,13.4,0.0546,Very soluble,-2.13,1.82,0.00738,Soluble,High,No,No,No,No,No,No,No,-7.92,0,0,0,0,0,0.55,0,0,1,2.24
Molecule 2,0.450169875,C=CCn1c(=O)c2c(OCC)c(C)cnc2n(c1=O)C,C14H17N3O3,275.3,20,10,0.36,4,4,0,78.19,66.12,2.84,1.42,0.99,1.69,2.09,1.81,-2.55,0.78,0.00283,Soluble,-2.41,1.06,0.00386,Soluble,-3.28,0.145,0.000528,Soluble,High,No,No,Yes,No,No,No,No,-6.97,0,0,0,0,0,0.55,0,1,0,2.63
Molecule 3,0.446772367,CCOc1c(C)cnc2c1c(=O)n(CC#C)c(=O)n2C,C14H15N3O3,273.29,20,10,0.36,3,4,0,76.83,66.12,2.8,0.89,0.52,1.69,1.93,1.57,-2.27,1.48,0.00541,Soluble,-1.86,3.74,0.0137,Very soluble,-2.91,0.333,0.00122,Soluble,High,No,No,Yes,No,No,No,No,-7.34,0,0,0,0,0,0.55,0,1,0,2.62
Molecule 6,0.417099942,C=CCn1c(=O)c2c(OCC)ccnc2n(c1=O)C,C13H15N3O3,261.28,19,10,0.31,4,4,0,73.23,66.12,2.64,1.05,0.68,1.43,1.58,1.48,-2.25,1.48,0.00566,Soluble,-2.03,2.44,0.00935,Soluble,-2.89,0.334,0.00128,Soluble,High,No,No,Yes,No,No,No,No,-7.15,0,0,0,0,0,0.55,0,1,0,2.54
